gender,SeniorCitizen,Partner,Dependents,tenure,tenure_band,MonthlyCharges,TotalCharges,avg_monthly_spend,charge_gap,is_high_value,PhoneService,MultipleLines,InternetService,streaming_count,security_count,Contract,PaperlessBilling,PaymentMethod,payment_electronic_check,month_to_month_paperless,no_support_services,is_isolated,fiber_no_security,no_internet_services,segment,segment_label
Male,no,Yes,Yes,-1.2802480369298874,0-12,-1.150059780065818,-0.9940396721114126,-1.1462932969578283,0.00046458874911472516,0,No,No phone service,DSL,-0.9062505304364585,-0.2063142886290269,Month-to-month,No,Electronic check,1,0,1,0,0,0,1,Low Engagement
Male,no,Yes,No,1.6125732136881425,36+,0.8460288442770204,1.802757966025724,0.7840365895337481,0.6829688779438602,1,Yes,Yes,DSL,1.4392605958164588,2.126164935871484,Two year,Yes,Credit card (automatic),0,0,0,0,0,0,0,Loyal High-Value
Female,no,No,Yes,-0.6283446565089229,12-36,-0.0032644838155611237,-0.5251015154562937,-0.016546109841079442,0.15337103393627138,0,Yes,No,DSL,1.4392605958164588,-0.9838073634625305,Month-to-month,Yes,Mailed check,0,1,1,0,0,0,3,At risk High-value
Female,yes,Yes,No,1.5718292524118322,36+,1.0487955488314133,1.9781299834030968,1.0108000941635427,0.3983443880213228,1,Yes,Yes,Fiber optic,-0.9062505304364585,2.126164935871484,Two year,Yes,Credit card (automatic),0,0,0,0,0,0,0,Loyal High-Value
Male,yes,Yes,No,-1.2395040756535771,0-12,1.0205411719672768,-0.9272218305219706,0.8622381757387381,1.7875586668739818,1,Yes,No,Fiber optic,1.4392605958164588,-0.2063142886290269,Month-to-month,Yes,Credit card (automatic),0,1,1,0,1,0,3,At risk High-value
Female,no,Yes,Yes,-0.22090504374582004,12-36,0.044934159070319335,-0.18037968960016687,0.1532165960757254,-1.2511029811161092,0,Yes,No,DSL,-0.9062505304364585,2.126164935871484,One year,No,Mailed check,0,0,0,0,0,0,2,Stable Mid-Value
Male,no,No,No,-1.2802480369298874,0-12,-1.4824642137615447,-0.9984515467624158,-1.477597457402623,0.00046458874911472516,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Month-to-month,No,Bank transfer (automatic),0,0,0,1,0,1,1,Low Engagement
Male,yes,No,No,-1.2802480369298874,0-12,-0.6497911073537496,-0.9873998007616529,-0.6476805354884129,0.00046458874911472516,0,Yes,No,DSL,-0.9062505304364585,-0.9838073634625305,Month-to-month,No,Bank transfer (automatic),0,0,1,1,0,0,1,Low Engagement
Female,no,Yes,Yes,1.6125732136881425,36+,1.1667991227933967,2.1919956071104716,1.1899992222454423,-0.31225032866488844,1,Yes,Yes,Fiber optic,0.2665050326900002,1.3486718610379804,Two year,No,Bank transfer (automatic),0,0,0,0,0,0,0,Loyal High-Value
Male,no,No,No,-1.1172721918246462,0-12,0.1629377330323022,-0.8675512258671538,-0.047026092602000594,2.4163864227061587,0,Yes,No,Fiber optic,-0.9062505304364585,-0.9838073634625305,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Female,no,No,No,0.5532302205040753,36+,0.3324639942171226,0.5581019488579861,0.408747600469032,-0.8928746969910577,1,Yes,No,Fiber optic,-0.9062505304364585,-0.2063142886290269,Month-to-month,Yes,Credit card (automatic),0,1,1,1,1,0,3,At risk High-value
Male,no,No,No,0.06430268518835193,12-36,1.3811999825271402,0.5585210769498313,1.3116425251420887,0.7498186013758656,1,Yes,Yes,Fiber optic,1.4392605958164588,0.5711787862044767,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Female,no,No,No,-0.8728084241667845,0-12,1.0986562138857725,-0.5196749096355598,1.1824737653686725,-1.009065464134263,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.2063142886290269,Month-to-month,Yes,Bank transfer (automatic),0,1,1,1,1,0,3,At risk High-value
Male,no,Yes,Yes,-0.9135523854430948,0-12,-0.5068572008645872,-0.7974906564092247,-0.5708179702652205,0.7573514924255282,0,Yes,No,DSL,-0.9062505304364585,-0.2063142886290269,One year,No,Mailed check,0,0,1,0,0,0,1,Low Engagement
Female,no,Yes,Yes,1.5310852911355222,36+,0.14631751134751586,1.142256212024051,0.15921074727488427,-0.15435318700287964,0,Yes,Yes,DSL,0.2665050326900002,0.5711787862044767,Two year,Yes,Credit card (automatic),0,0,0,0,0,0,0,Loyal High-Value
Female,no,Yes,Yes,-0.6283446565089229,12-36,-1.4641819699082799,-0.8228368762792375,-1.3317261844067827,-1.472384258274211,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,One year,No,Mailed check,0,0,0,0,0,1,1,Low Engagement
Female,no,No,No,1.24587756220135,36+,0.5003282332334644,1.1374472686544572,0.40970561595023525,1.0265153776835492,1,Yes,Yes,DSL,0.2665050326900002,2.126164935871484,Two year,Yes,Credit card (automatic),0,0,0,1,0,0,0,Loyal High-Value
Female,no,Yes,No,-0.791320501614164,12-36,0.3790006149345245,-0.5743600959347432,0.35438712517999627,0.26952112210728224,1,Yes,Yes,DSL,0.2665050326900002,1.3486718610379804,Month-to-month,Yes,Electronic check,1,1,0,0,0,0,2,Stable Mid-Value
Female,no,No,No,0.6754621043330061,36+,0.6548962949019775,0.7162235363499369,0.4946088805594607,1.8244200420530294,1,Yes,Yes,Fiber optic,0.2665050326900002,-0.9838073634625305,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Male,no,No,No,-1.2395040756535771,0-12,-0.5168293338754589,-0.9645683494427119,-0.5400066833438546,0.2871641734750294,0,Yes,No,DSL,-0.9062505304364585,-0.2063142886290269,Month-to-month,No,Mailed check,0,0,1,1,0,0,1,Low Engagement
Female,no,No,No,-1.2395040756535771,0-12,0.526920587929123,-0.9437663604632323,0.24104287490474846,3.27839650744874,1,Yes,No,Fiber optic,0.2665050326900002,-0.9838073634625305,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Male,no,No,No,0.797693988161937,36+,0.4970041888965074,0.8534769567426433,0.5404271537374578,-0.5200054265994677,1,Yes,Yes,DSL,1.4392605958164588,0.5711787862044767,Two year,Yes,Credit card (automatic),0,0,0,1,0,0,0,Loyal High-Value
Female,no,Yes,Yes,1.4903413298592119,36+,-0.021546727668825993,0.8694920617257846,-0.10422167461965812,0.954744849020396,0,Yes,Yes,DSL,-0.9062505304364585,1.3486718610379804,Two year,Yes,Credit card (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Female,yes,No,No,0.4309983366751445,36+,0.8460288442770204,0.6862448480963709,0.8108282452604147,0.3738407921130987,1,Yes,Yes,Fiber optic,0.2665050326900002,-0.2063142886290269,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Female,no,No,No,-0.7098325790615434,12-36,1.1402067680977384,-0.3780537333383605,1.0036498348885912,1.5320774813737765,1,Yes,No,Fiber optic,1.4392605958164588,0.5711787862044767,Month-to-month,Yes,Credit card (automatic),0,1,0,1,0,0,3,At risk High-value
Female,yes,Yes,No,-0.3023929662984406,12-36,0.15628964435838757,-0.23411632284938455,0.1758090857131686,-0.23118867570942767,0,Yes,Yes,DSL,0.2665050326900002,0.5711787862044767,Month-to-month,Yes,Credit card (automatic),0,1,0,0,0,0,2,Stable Mid-Value
Female,yes,Yes,No,-0.9950403079957154,0-12,0.526920587929123,-0.727959511909416,0.47585469861999624,0.5690854317888498,1,Yes,Yes,Fiber optic,-0.9062505304364585,-0.2063142886290269,Month-to-month,Yes,Credit card (automatic),0,1,1,0,1,0,3,At risk High-value
Female,yes,Yes,Yes,1.1236456783724194,36+,0.33412601638560113,0.9587222265423222,0.3138469641624922,0.22122326898806383,1,Yes,No,DSL,0.2665050326900002,2.126164935871484,One year,Yes,Credit card (automatic),0,0,0,0,0,0,0,Loyal High-Value
Male,yes,No,No,-0.5876006952326126,12-36,1.0188791497987983,-0.23416044159589464,1.0788742850962505,-0.7311502774588631,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.9838073634625305,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Female,no,Yes,Yes,1.24587756220135,36+,1.1584890119510036,1.7770587961836308,1.1720995946880777,-0.2012869708728228,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.2063142886290269,One year,Yes,Credit card (automatic),0,0,0,0,0,0,0,Loyal High-Value
Male,yes,Yes,Yes,1.368109446030281,36+,1.451004913603243,2.114633385105133,1.405326010867864,0.47163653253604787,1,Yes,Yes,Fiber optic,1.4392605958164588,1.3486718610379804,One year,Yes,Electronic check,1,0,0,0,1,0,0,Loyal High-Value
Female,no,Yes,Yes,0.06430268518835193,12-36,-1.3245721077560746,-0.6128095835182352,-1.2754044771311677,-0.5167189758544956,0,Yes,Yes,No,-0.9062505304364585,-0.9838073634625305,Two year,No,Credit card (automatic),0,0,0,0,0,1,1,Low Engagement
Female,no,No,No,1.6125732136881425,36+,1.419426492402149,2.457590461100858,1.4670063119506733,-0.6031973146460052,1,Yes,Yes,Fiber optic,1.4392605958164588,0.5711787862044767,Two year,Yes,Credit card (automatic),0,0,0,1,1,0,0,Loyal High-Value
Female,no,Yes,No,0.5939741817803856,36+,1.1867433888151402,1.0693499834162248,1.1712145504769609,0.13385106221024434,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.2063142886290269,Month-to-month,Yes,Electronic check,1,1,1,0,1,0,0,Loyal High-Value
Male,no,No,No,1.1236456783724194,36+,0.8343946890976701,1.3974169824648146,0.8629007840596276,-0.36077688800553515,1,Yes,Yes,Fiber optic,0.2665050326900002,-0.2063142886290269,Month-to-month,Yes,Bank transfer (automatic),0,1,1,1,1,0,0,Loyal High-Value
Male,no,Yes,No,1.6125732136881425,36+,-0.7544985039679034,0.2994337380696746,-0.7838833570046062,0.36786479732380717,0,No,No phone service,DSL,-0.9062505304364585,1.3486718610379804,Two year,No,Bank transfer (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Female,no,Yes,Yes,-0.5876006952326126,12-36,-0.3456410505221597,-0.5851030107099358,-0.38521401726937005,0.4698024274485737,0,Yes,No,DSL,-0.9062505304364585,0.5711787862044767,One year,Yes,Credit card (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Female,no,No,No,-0.9542963467194051,0-12,0.9839766842607471,-0.6291555791002016,1.0088402667355596,-0.32446160727358636,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.9838073634625305,Month-to-month,No,Electronic check,1,0,1,1,1,0,3,At risk High-value
Female,no,No,No,-1.1987601143772668,0-12,0.3490842159019089,-0.8996696733264564,0.5488796573180363,-2.3186164965893936,1,Yes,No,DSL,1.4392605958164588,0.5711787862044767,Month-to-month,Yes,Electronic check,1,1,0,1,0,0,3,At risk High-value
Male,no,Yes,No,0.5939741817803856,36+,0.4687498120323708,0.6031251296714726,0.42630886632794657,0.4717905727169671,1,Yes,Yes,Fiber optic,-0.9062505304364585,-0.2063142886290269,One year,Yes,Electronic check,1,0,1,0,1,0,2,Stable Mid-Value
Female,no,No,No,-0.05792919864057891,12-36,0.4787219450432425,0.09436980429105073,0.5219834593464427,-0.517444338497695,1,Yes,No,DSL,1.4392605958164588,1.3486718610379804,Two year,No,Mailed check,0,0,0,1,0,0,0,Loyal High-Value
Female,no,Yes,Yes,0.7162060656093164,36+,-1.4841262359300234,-0.5966621222955638,-1.5300097755849897,0.5860962738159164,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Two year,No,Bank transfer (automatic),0,0,0,0,0,1,1,Low Engagement
Male,no,No,No,-0.9135523854430948,0-12,0.5003282332334644,-0.6158758364006823,0.7929956062057759,-3.3959698249705568,1,Yes,No,Fiber optic,-0.9062505304364585,0.5711787862044767,Month-to-month,Yes,Mailed check,0,1,0,1,0,0,3,At risk High-value
Male,no,No,No,-1.2802480369298874,0-12,-0.5234774225493735,-0.9857232883942716,-0.521784954519391,0.00046458874911472516,0,Yes,No,DSL,-0.9062505304364585,-0.2063142886290269,Month-to-month,No,Mailed check,0,0,0,1,0,0,1,Low Engagement
Female,no,Yes,Yes,0.797693988161937,36+,-1.4758161250876303,-0.5261824247457894,-1.451953241137425,-0.21897086263725943,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,One year,Yes,Electronic check,1,0,0,0,0,1,1,Low Engagement
Male,yes,Yes,Yes,1.2866215234776603,36+,1.5557123102173966,2.124626281189655,1.528056005682636,0.2596887966054604,1,Yes,Yes,Fiber optic,1.4392605958164588,1.3486718610379804,Two year,Yes,Bank transfer (automatic),0,0,0,0,0,0,0,Loyal High-Value
Male,no,Yes,Yes,1.2051336009250397,36+,-1.3478404181147754,-0.3788478707755411,-1.385580398646827,0.4869290454130864,0,Yes,Yes,No,-0.9062505304364585,-0.9838073634625305,Two year,Yes,Bank transfer (automatic),0,0,0,0,0,1,1,Low Engagement
Female,no,No,Yes,-1.1987601143772668,0-12,-0.009912572489475751,-0.929096877248647,-0.18771992607088986,2.0519593950101043,0,Yes,No,DSL,0.2665050326900002,0.5711787862044767,Month-to-month,Yes,Bank transfer (automatic),0,1,0,0,0,0,2,Stable Mid-Value
Female,yes,No,No,0.9606698332671781,36+,1.5191478225108668,1.7013069084259078,1.485385804661063,0.3315343473016598,1,Yes,Yes,Fiber optic,1.4392605958164588,1.3486718610379804,One year,No,Electronic check,1,0,0,1,0,0,0,Loyal High-Value
Female,no,No,No,0.5532302205040753,36+,-0.30409049631019386,0.17892338197752508,-0.21025100973592184,-1.0711270474945565,0,Yes,No,DSL,0.2665050326900002,-0.9838073634625305,One year,No,Credit card (automatic),0,0,1,1,0,0,2,Stable Mid-Value
Female,no,Yes,Yes,-0.9950403079957154,0-12,-0.3373309396797665,-0.7946008785128177,-0.14968896931983114,-2.1521714599012953,0,Yes,No,DSL,-0.9062505304364585,0.5711787862044767,Month-to-month,No,Mailed check,0,0,0,0,0,0,2,Stable Mid-Value
Male,yes,No,No,-0.09867315991688919,12-36,0.33080197204864403,-0.07588443849115852,0.18477638498920784,1.6722417227953323,1,Yes,No,DSL,1.4392605958164588,0.5711787862044767,Month-to-month,Yes,Electronic check,1,1,0,1,0,0,3,At risk High-value
Female,no,Yes,Yes,0.512486259227765,36+,-1.2929936865549807,-0.47061486351640547,-1.2511326579519146,-0.433619819532196,0,Yes,Yes,No,-0.9062505304364585,-0.9838073634625305,One year,Yes,Credit card (automatic),0,0,0,0,0,1,1,Low Engagement
Female,no,No,Yes,-1.2802480369298874,0-12,0.48370801154867815,-0.9723553082017324,0.4820666516283362,0.00046458874911472516,1,Yes,No,Fiber optic,0.2665050326900002,-0.9838073634625305,Month-to-month,Yes,Electronic check,1,1,1,0,1,0,3,At risk High-value
Female,no,Yes,Yes,-0.8728084241667845,0-12,-0.47361675749501453,-0.757938200162982,-0.4440790696150663,-0.32272403403282757,0,No,No phone service,DSL,1.4392605958164588,-0.2063142886290269,Month-to-month,No,Electronic check,1,0,0,0,0,0,2,Stable Mid-Value
Female,no,Yes,No,-1.0357842692720256,0-12,0.3440981493964733,-0.7881374821490981,0.2049543859991545,1.5923299020368167,1,Yes,No,Fiber optic,-0.9062505304364585,-0.2063142886290269,Month-to-month,Yes,Bank transfer (automatic),0,1,1,0,1,0,3,At risk High-value
Female,no,No,No,0.3902543753988342,36+,1.2964368519347298,0.9018752216641471,1.2667842202247213,0.2926251179459958,1,Yes,No,Fiber optic,1.4392605958164588,1.3486718610379804,Month-to-month,Yes,Bank transfer (automatic),0,1,0,1,1,0,0,Loyal High-Value
Female,no,Yes,No,0.6754621043330061,36+,-1.4841262359300234,-0.5779337144020558,-1.4887198113604125,0.1096834781685104,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Two year,Yes,Bank transfer (automatic),0,0,0,0,0,1,1,Low Engagement
Male,no,No,No,-0.9542963467194051,0-12,1.1468548567716528,-0.6020225499965326,1.2352314430395024,-1.0635094256781679,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.2063142886290269,Month-to-month,Yes,Credit card (automatic),0,1,1,1,1,0,3,At risk High-value
Female,no,Yes,No,0.10504664646466222,12-36,-0.08802761440797156,-0.029934764000961456,-0.04972385505133688,-0.4385953467168551,0,Yes,No,DSL,0.2665050326900002,-0.2063142886290269,One year,Yes,Bank transfer (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Female,no,Yes,Yes,0.6347181430566958,36+,-1.4675060142452372,-0.5410283829464149,-1.4172724915216335,-0.5235585411110294,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Two year,No,Bank transfer (automatic),0,0,0,0,0,1,1,Low Engagement
Female,no,Yes,Yes,0.5532302205040753,36+,-1.4907743246039378,-0.5983386346629451,-1.4791099329176969,-0.07765066042258476,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Two year,Yes,Mailed check,0,0,0,0,0,1,1,Low Engagement
Male,no,Yes,No,-0.13941712119319946,12-36,-1.0320562061038352,-0.5620950844049546,-0.99383626174625,-0.40157390937228193,0,No,No phone service,DSL,0.2665050326900002,-0.9838073634625305,Month-to-month,No,Mailed check,0,0,1,0,0,0,1,Low Engagement
Male,no,Yes,Yes,-0.09867315991688919,12-36,0.5734572086465244,0.1265764892433733,0.6915613157495947,-1.3846129605711937,1,Yes,No,Fiber optic,-0.9062505304364585,0.5711787862044767,Month-to-month,No,Bank transfer (automatic),0,0,1,0,1,0,2,Stable Mid-Value
Male,yes,No,No,-1.2802480369298874,0-12,0.32913994988016554,-0.9744068299144488,0.328010217021507,0.00046458874911472516,1,Yes,No,Fiber optic,-0.9062505304364585,-0.2063142886290269,Month-to-month,No,Electronic check,1,0,0,1,1,0,3,At risk High-value
Male,no,Yes,Yes,1.368109446030281,36+,0.6382760732171912,1.5136919388920012,0.7215845003499025,-0.985608225383955,1,Yes,Yes,DSL,1.4392605958164588,1.3486718610379804,Two year,Yes,Mailed check,0,0,0,0,0,0,0,Loyal High-Value
Female,no,No,No,1.3273654847539706,36+,1.5374300663641316,2.128155780910457,1.4755968589314374,0.6547277436364551,1,Yes,Yes,Fiber optic,1.4392605958164588,1.3486718610379804,Month-to-month,Yes,Credit card (automatic),0,1,0,1,0,0,0,Loyal High-Value
Male,no,No,No,1.6125732136881425,36+,1.2000395661629695,2.283475827999021,1.2854102190068701,-1.0308575285288246,1,Yes,Yes,Fiber optic,1.4392605958164588,0.5711787862044767,Two year,Yes,Bank transfer (automatic),0,0,1,1,1,0,0,Loyal High-Value
Female,no,No,No,-0.8320644628904743,0-12,0.47041183420084937,-0.59822833779667,0.41345908173622686,0.639167552499625,1,Yes,Yes,Fiber optic,-0.9062505304364585,-0.2063142886290269,Month-to-month,Yes,Electronic check,1,1,0,1,0,0,3,At risk High-value
Male,no,Yes,Yes,1.5718292524118322,36+,0.06820246942901982,1.0877033819643973,0.0690330211808578,-0.012187881187149634,0,Yes,Yes,DSL,-0.9062505304364585,1.3486718610379804,One year,Yes,Credit card (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Male,no,No,No,-1.1172721918246462,0-12,-1.4542098368974081,-0.9571343406557717,-1.392452288168311,-0.6570331255556492,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Month-to-month,No,Mailed check,0,0,0,1,0,1,1,Low Engagement
Male,no,No,No,0.797693988161937,36+,-1.4558718590658866,-0.5188807721983792,-1.4414088491078838,-0.11127473657996068,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Two year,No,Bank transfer (automatic),0,0,0,1,0,1,1,Low Engagement
Female,yes,Yes,No,-0.3023929662984406,12-36,1.1202625020759949,0.10200234743728616,1.185425384252635,-0.794648926224088,1,Yes,No,Fiber optic,1.4392605958164588,0.5711787862044767,Month-to-month,Yes,Electronic check,1,1,1,0,1,0,3,At risk High-value
Male,no,No,No,-1.2802480369298874,0-12,-1.4824642137615447,-0.9984515467624158,-1.477597457402623,0.00046458874911472516,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Month-to-month,No,Mailed check,0,0,0,1,0,1,1,Low Engagement
Female,no,Yes,Yes,-1.2802480369298874,0-12,-1.5073945462887242,-0.998782437361241,-1.5024452694359824,0.00046458874911472516,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Month-to-month,No,Electronic check,1,0,0,0,0,1,1,Low Engagement
